locale	Language name	Decimal period or comma?	multiplication	Division	Thousand separator	Repeating decimals	Abbreviation for trigonometric functions	Coordinates	Open interval (a,b)	Closed interval [a,b]	angle	angle measurement	line	segment	ray	Number line arrow(s), graph axes, <---> or ---> only	Right angle	You can skip the rest of the columns for now		LCM	GCD	long division format	Multi-digit  multiplication format	derivative	Logarithm notation	multiplication		Way to express quotation	Capitalization Conventions	Title Capitalization?	enumeration	dollar 	Mixed numbers
ka	Georgian	comma, e.g. 3,14	Both x and ⋅ are used	\div	1 000 000 000 	3,16(7) or 5,(7)	sin, cos, tan, cot, csc, sec	(5,5 ; 3,5)	(a,b)	[a,b]	∠BAC	∠ABC=60°	AB	AB	AB	---> only, only right arrow for x-absis, only up arrow for y-axis	L with a small square in the corner			უსჯ	უსგ				log, ln	5 x 6		„ “	don't have capital letters.	don't have campital letters.	ა, ბ, გ, დ	Dollar stays dollar,  local currency  ₾ (Lari ლარი)	5 \\dfrac{5}{3}
kk	Kazakh	comma, e.g. 3,14	dot is used for number multiplication, for vector multiplication x is used	"÷ in primary school or  / in middle school and higher"	1000000000 no separation 	3,16(7) or 5,(7) for repeating number brackest are used	sin, cos, tg, ctg, csc, sec	(5,5 ; 3,5)	(a;b)	[a;b]	∠ABC, α, β, θ	∠ABC=60°			AB сәулесі(which means ray)	---> only, only right arrow for x-absis, only up arrow for y-axis	a small square in the corner																
km	Khmer	period (e.g. 3.1415)	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6)	"÷ in primary school or  / in middle school and higher"	1 000 000 000 	0.\overline{3} 1.\overline{12}	sin, cos, tg, ctg, csc, sec	(5.5, 3.5)	(a,b)	[a,b]	∠ABC	∠ABC=60°	AB	AB	\overrightarrow{AB}	---> only, only right arrow for x-absis, only up arrow for y-axis	L with a small square in the corner																
kn	Kannada	period (e.g. 3.14)	"x" e.g. 5 x 12 "⋅" in Algebra (higher grades) for example: "x ⋅ y"	÷ in primary school or  / in middle school and higher	1,000,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cosec, sec, cot	(x,y)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB or a	AB or AB with a line over it	AB with a ray over it	<--->	L with a small square in the corner																
ko	Korean	period (e,g. 3.14)	"x" used in a primary school, "⋅" used at higher level education  	÷ or in the form of a fraction	1000000000 (no space or no comma required), exceptionally, commas are used for money		sin, cos, tan, cot, csc, sec	(5,5), (3,5)	(a,b)	[a,b]	각(written in a word)used in a primary school while ∠ABC, α, β, θ used at higher level education	∠ABC=60°	직선(written in a word, which means line) AB or AB with two sided arrow over it 	선분(written in a word, which means segment) AB or AB with line over it	반직선(written in a word, which means ray) AB or AB with one sided arrow over it 	<--->for number line,   ---> for x-axis or y-axis	small square			최소공배수	최대공약수			f'(x) and df/dx	log, ln	5 x 6, 5(5+7), 5 x (6+7),yx, y ⋅ x		" "	Korean does not have capitalization.	No. Korean does not have capitalization.	a,b,c,d (no coordinate conjunction required) 	For American currency, dollor or $  For Korean currency, won or KRW 	5 \\dfrac{5}{3}
ky	Kyrgyz	Comma 3,14	5 ⋅ 6 (for all classes)	\mathbin{:}	1 000 000 000	1,(6) ; 0,4(3)	sin, cos, tg, ctg, sec, cosec, arcsin	(5,5; 3,5)	(a, b)	[a, b]	∠ABC or α, β, θ	∠ABC Бурчу or ∠ABC= 60°	AB түз сызыгы 	 AB кесиндиси	AB шоола	We do not use 	L with a small square in the corner																
lt	Lithuanian	comma, e.g. 3,14	\cdot	\mathbin{:}	1 000 000 000 000	0,(3) ; 1,(12)	sin, cos, tg, ctg, cosec, sec	with numbers (5,5; 3,5), without numbers (x,y)	with numbers (5;6), with letters (a,b)	with numbers [5;6], with letters [a,b]	∠ABC, α, β, θ	∠ABC=60°	AB or a	AB	OA	---> only, only right arrow for x-axis, only up arrow for y-axis	L with a small square in the corner																
lv	Latvian	comma (e.g. 3,14159)	\cdot	\mathbin{:}	1 000 000 000 000	0,(3) ; 1,(12)	sin, cos, tg, ctg, cosec, sec	(5,5; 3,5)	(a; b)	[a; b]	∢ABC, α, β, θ	∢ABC=60°	AB or a	AB	AB or a	---> only, only right arrow for x-axis, only up arrow for y-axis	Only in geometric diagrams: L completes the corner, forming a little square																
mk	Macedonian	comma, e.g. 3,14			1.000.000.000																												
mn	Mongolian	period (e.g. 3.14159)			1,000,000,000																												
mr	Marathi	period (e.g. 3.14)	"x" e.g. 5 x 12 "⋅" in Algebra (higher grades) for example: "x ⋅ y"	÷ in primary school or  / in middle school and higher	1,000,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cosec, sec, cot	(x,y)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB or a	AB or AB with a line over it	AB with a ray over it	<--->	L with a small square in the corner																
ms	Malay	period (e.g. 3.14159)			1,000,000,000																												
my	Myanmar	period (e.g. 3.14159)	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6)	\div	1,000,000,000		sin, cos, tan, cot, csc, sec	(5.5, 3.5)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB	AB with line over it	AB, with arrow over it	< ---- > 	small square																
nb	Norwegian	comma, e.g. 3,14 (in LaTeX: 3{,}14)	\cdot	\mathbin{:}	1 000 000 000 000	0{,}\overline{3} 1{,}\overline{12}	sin, cos, tan, cot, csc, sec (uncommon synonyms which we shouldn't use, but might exist in textbooks: tg for tan; ctg/cotg/ctn for cot; cosec for csc)	Plain: (5,3, 3,5) LaTeX: (5{,}3, 3{,}5)	Plain: (5,3, 3,5) LaTeX: (5{,}3, 3{,}5)	Plain: [5,3, 3,5] LaTeX: [5{,}3, 3{,}5]	∠ABC, α, β, θ	∠ABC=60°	often one small letter, like l and m	AB is a segment between the points A and B.	no special notation, just AB	---> only	L with a small square in the corner			MFM	SFM			f'(x) and df/dx		5 ⋅ 6		" " and « »	Capital: Names (of people, countries, cities, companies), start of sentences. NOT capital: nationalities, languages, months, days	No. Same as any other sentence.	a, b, c and d	dollar	5 \\dfrac{5}{3}
nl	Dutch	comma, e.g. 3,14	"x" in primary school, dot at higher level education	\mathbin{:}	1 000 0000 000	1/3 = 0{,}3\!\!\!/ or 0{,}\overline{3}	sin, cos, tan, cot, cosec, sec	(5,5; 3,5)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB	AB , with line over it	AB, with arrow over it	---> only, only right arrow for x-axis, only up arrow for y-axis	small square or L in the corner			KGV	GGD	11 / 135 \ 12,27...		f'(x) and df/dx	log, ln	5 x 6, 5(5+7), 5 x (6+7),yx, y ⋅ x		" "	Names of almost anything and the first word in a new sentence (only after ".", not after ";", ":" etc). Not for days of the week of month (maandag, maart).	Introduction to matrices, but Khan Academy, or New York.	a, b, c en d	euro	5 \\dfrac{5}{3}
pa	Punjabi	period (e.g. 3.14)	"x" e.g. 5 x 12 "⋅" in Algebra (higher grades) for example: "x ⋅ y"	÷	1,000,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cosec, sec, cot	(x,y)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB or a	AB or AB with a line over it	AB with a ray over it	<--->	L with a small square in the corner																
pl	Polish	comma, e.g. 3,14	"x" or period (e.g. 5 x 6 or 5 \cdot 6, not 5.6. The best version is 5 \cdot 6)	\mathbin{:}	1 000 000 000 000 - without dots, without commas	0{,}(3) ; 1{,}(12)	sin, cos, tg, ctg, cosec, sec	(5,3 , 3,5)	(a;b)	[a;b]	We use greek notation for angles \\alpha, \\beta, but \\angle{ABC}	∠ABC=60°	AB or "pr. AB"	SEGMENT, e.g. AB or \\overline{AB}	no special totation, just AB, or "półprosta AB"	---> only, only right arrow for x-axis, only up arrow for y-axis				NWW	NWD	\overline{divident : divisor}	      256                             x    527                      ---------                ....1792                         ....512                1280                        ---------                  134912	<code>f '(x)</code>, on later stages also <code>\\dfrac{d}{dx}f(x)</code>	log, ln	5 ⋅ 6		,,''		Introduction to matrices, but Khan Academy, or New York.	a, b, c i d - 'i' means 'and', but we do not put coma in front of 'i'	8 zł, we prefer to have rather Polish currency :)	5 \\dfrac{5}{3}
ps	Pashto	comma, e.g. (۳,۱۴/3,14) for lower grades, period (e.g. 3.14159) for more advanced math 	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6)	÷, \	1000000000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, csc, sec	(5.5 , 3.5)	(a,b)	[a,b]	\angle{ABC}, ∠ABC, Â	m\angle{ABC}, m∠ABC=60°, Â=60°	\overleftrightarrow{AB}	\overline{AC}	\overrightarrow{AB}	<--->	small square			         LCM	         GCD 		      256                             x    527                      ---------                ....1792                         ....512                1280                        ---------                  134912		log, ln	"x" or period (e.g. 5 x 6 or 5 ⋅ 6), (5)(6)		" "	N/A	No. Same as any other sentence.	a, b, c, او d	AF or ؋	
pt	Brazilian Portugues	comma, e.g. 3,14	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6)	\div	1.000.000.000	0{,}333... or 0{,}\overline{3}; 1{,}1212... or 1{,}\overline{12}	sen,cos,tg,cotg,cossec,sec	(5,5;3,5)	(a,b)	[a,b]	Â, ∠ABC, α, β, θ	m(BÂC)=60° 	AB	AB, with line over it	AB, with arrow over it	< ---- > 	small square with a dot			MMC	MDC	http://seusaber.com.br/wp-content/uploads/2013/03/divisao-simples-resto-zero-passo-passo.jpg		f'(x) and df/dx	same as in English	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6)		" "	Capital: name of the population, nationalities, all words after punctuation (.). Always lowercase for languages, months, days of the week.	No. Same as any other sentence.	a, b, c e d  'e' means 'and', but we do not put coma in front of 'e'	$ or R$	5 \\dfrac{5}{3}
pt - pt	European Portuguese	comma, e.g. 3,14	5 × 6	\mathbin{:}	1 000 000 000	0,(3) ; 1,(12)	sen,cos,tg,cotg,cossec,sec	(5,5 ; 3,5) or (4, 8)	]a,b[	[a,b]	∠BAC or simply 'ângulo BAC' for the angle	BÂC for the measurement of the angle	AB	[AB] for the segment, AB with a line over it for the measuse of the segment	AB, with a point over A	---> only				MMC	MDC	http://seusaber.com.br/wp-content/uploads/2013/03/divisao-simples-resto-zero-passo-passo.jpg		f'(x) and df/dx	same as in English	5 × 6		" "	The same as English, except: nationalities and languages (português, not Português), month (abril, not Abril) , days of the week (sábado, not Sábado), and seasons (inverno (Winter), and not Inverno).	Same as any other sentence.	a, b, c e d  'e' means 'and', but we do not put coma in front of 'e'	euro	5 \\dfrac{5}{3}
ro	Romanian	comma, e.g. 3,14	"x" or period (e.g. 5 x 6 or 5 \cdot 6, not 5.6. The best version is 5 \cdot 6)	\mathbin{:}	1 000 000 000	1,(6) ; 0,4(3)	sin, cos, tg, ctg, sec, cosec, arcsin	(5,5 ; 3,5)	(a, b)	[a,b]	∠ABC, α, β, θ	m(BÂC)=60° or m(∠BAC)=60°	AB or small letter	[AB] for closed segment  or (AB) for opened segment	(AB or [AB	---> only	a little corner with a mark sign (for the angle sign, the semilines are orthogonal)			cmmmc	cmmdc			f'(x) or df/dx later		5 x 6 (primary school) or 5 ⋅ 6		" "			a, b, c și d where "și" means "and"	RON or lei	5\\dfrac{5}{3}
ru 	Russian	comma, e.g. 3,14	5 x 6 (primary school), 5 ⋅ 6 (high school)	\mathbin{:}	100000000 	1,(6) ; 0,4(3)	sin, cos, tg, ctg, sec, cosec, arcsin	(5,5; 3,5)	(a, b)	[a, b]	∠ABC or α, β, θ	∠ABC= 60°	прямая АВ	отрезок АВ	луч AB 	<--->	L with a small square in the corner. 			НОК	НОД	https://tutomath.ru/wp-content/uploads/2017/11/Без-имени-4-2.jpg		f’(x) and df/dx		5 x 6 (primary school), 5 ⋅ 6 (high school)		« »	- the first letter - title - geographic location - holiday	Capitalize the first letter and names	a, b, c, d а, б, в, г, д	$, local currency RUB (₽)	https://cf.ppt-online.org/files2/slide/f/fMQSezpci0CbsmlvJ1dIxrVWN6YaLtAXkD8FEn/slide-6.jpg
rw	Kinyarwanda	comma, e.g. 3,14			1.000.000.000.000																												
sl	Slovenian	comma, e.g. 3,14			1.000.000.000.000																												
so	Somali	period (e.g. 3.14)			1,000,000,000,000																												
sq	Albanian	comma, e.g. 3,14			1 000 000 000																												
sr	Serbian	comma, e.g. 3,14	"⋅" dot always, "×" is used for vector product only		1.000.000.000.000		sin	(5,5; 3,5)	(a; b)	[a; b]	∠ABC, α, β, θ		small letter, a, b, p, q	AB, with line over it	small letter, a, b, p, q					latin & cyrilic: NZS НЗС	latin & cyrilic: NZD НЗД			<code>f '(x)</code>, on later stages also <code>\\dfrac{d}{dx}f(x)</code>		5 ⋅ 6, a × b		" "		No. Same as any other sentence.	a, b, c и d	8 rsd	5 \\dfrac{5}{3}
sv	Swedish	comma, e.g. 3,16	\cdot	\mathbin{:}	1 000 000 000	0.\overline{3} ; 1.\overline{12}	sin, cos, tan, cosec, sec, cot	(5,5 ; 3,5)	(a;b)	[a;b]	∠ABC 	∠ABC=60°	AB	|AB|	no special notation	---> only, only right arrow for x-axes, only up arrow for y-axis	small square											" "					
sw	Swahili	period (e.g. 3.14)			1,000,000,000,000																												
ta	Tamil	period (e.g. 3.14)	"x" e.g. 5 x 12 "⋅" in Algebra (higher grades) for example: "x ⋅ y"	÷ in primary school or  / in middle school and higher	1,000,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cosec, sec, cot	(x,y)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB or a	AB or AB with a line over it	AB with a ray over it		L with a small square in the corner								log, ln	"x" e.g. 5 x 6							
te	Telugu	period (e.g. 3.14)	"x" e.g. 5 x 12 "⋅" in Algebra (higher grades) for example: "x ⋅ y"	÷ in primary school or  / in middle school and higher	1,000,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cosec, sec, cot	(x,y)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB or a	AB or AB with a line over it	AB with a ray over it		L with a small square in the corner																
